,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-09-27 06:00:00,74.9299621582,75.8299865723,77.6299743652,76.1899719238,75.2900085449,76.3700256348,75.6499328613,75.2900085449,76.1899719238,77.6299743652,75.8299865723,75.109954834,77.0899963379,76.3700256348,77.4499816895,76.5499572754,76.5499572754,76.3700256348,77.2699890137,77.2699890137
2017-09-27 12:00:00,71.3299865723,72.2299499512,71.6899719238,71.8700256348,72.0499572754,71.3299865723,71.8700256348,72.2299499512,72.2299499512,72.9499816895,71.6899719238,71.509979248,71.8700256348,72.7699890137,71.6899719238,71.3299865723,72.9499816895,72.9499816895,72.4100036621,72.5899963379
2017-09-27 18:00:00,71.1499328613,71.8700256348,70.9700012207,71.509979248,71.509979248,70.9700012207,71.509979248,71.6899719238,71.509979248,72.4100036621,71.1499328613,71.3299865723,71.509979248,72.5899963379,71.3299865723,70.9700012207,72.4100036621,72.7699890137,72.2299499512,72.2299499512
2017-09-28 00:00:00,78.3499450684,77.990020752,77.2699890137,76.7299499512,79.2499694824,78.7099914551,79.4299621582,76.3700256348,78.1700134277,78.3499450684,79.609954834,77.6299743652,75.8299865723,80.3299865723,75.2900085449,77.990020752,77.4499816895,78.7099914551,78.1700134277,77.990020752
2017-09-28 06:00:00,72.2299499512,72.9499816895,72.7699890137,72.5899963379,72.4100036621,72.9499816895,72.2299499512,71.8700256348,71.8700256348,73.6700134277,72.7699890137,71.3299865723,72.4100036621,73.1299743652,71.6899719238,73.6700134277,71.509979248,72.5899963379,72.0499572754,71.6899719238
2017-09-28 12:00:00,70.9700012207,70.9700012207,70.2499694824,70.9700012207,70.609954834,70.7900085449,69.5299987793,70.4299621582,69.3499450684,70.9700012207,70.609954834,68.6299743652,70.2499694824,71.1499328613,69.7099914551,70.9700012207,69.3499450684,70.0699768066,69.7099914551,69.5299987793
2017-09-28 18:00:00,70.9700012207,70.609954834,69.8899841309,70.4299621582,70.2499694824,70.4299621582,69.3499450684,70.0699768066,68.990020752,70.7900085449,70.4299621582,68.809967041,69.7099914551,70.7900085449,69.5299987793,70.9700012207,69.3499450684,69.7099914551,69.7099914551,69.5299987793
2017-09-29 00:00:00,79.9700012207,78.7099914551,78.5299987793,75.6499328613,80.8700256348,80.1499328613,80.509979248,74.5699768066,78.8899841309,76.9100036621,79.0699768066,77.990020752,79.7900085449,79.9700012207,79.0699768066,79.2499694824,79.0699768066,80.6899719238,78.8899841309,80.3299865723
2017-09-29 06:00:00,73.093963623,72.7699890137,72.2299499512,72.0499572754,73.8499450684,74.2099914551,74.2099914551,70.609954834,72.0499572754,72.5899963379,72.8059997559,72.5899963379,72.0499572754,74.0299987793,73.1299743652,74.0299987793,73.309967041,74.3899841309,73.309967041,73.1299743652
2017-09-29 12:00:00,67.5499572754,68.2699890137,68.4499816895,68.0899963379,67.9100036621,69.8899841309,69.8899841309,66.8299865723,68.809967041,68.990020752,68.4499816895,69.5299987793,66.109954834,68.6299743652,68.0899963379,69.3499450684,68.809967041,69.7099914551,69.3499450684,68.990020752
2017-09-29 18:00:00,66.4700012207,67.5499572754,67.9100036621,67.7299499512,67.1899719238,68.990020752,69.1700134277,66.6499328613,68.2699890137,68.809967041,65.7499694824,69.1700134277,65.3899841309,67.9100036621,67.1899719238,68.990020752,68.0899963379,68.6299743652,68.6299743652,68.4499816895
2017-09-30 00:00:00,75.4700012207,75.6499328613,73.309967041,75.109954834,77.0899963379,73.8499450684,73.1299743652,72.5719909668,71.8700256348,73.1299743652,65.0299987793,77.0899963379,72.5899963379,73.1299743652,76.5499572754,73.7059631348,73.490020752,76.7299499512,71.1499328613,75.4700012207
2017-09-30 06:00:00,70.6279602051,67.5499572754,66.0919494629,66.4699401855,71.6899719238,69.925994873,68.1799621582,66.4159240723,67.009979248,67.7479553223,64.1299743652,68.4499816895,70.2499694824,66.8299865723,70.8619689941,70.0519714355,69.3139953613,69.3859558105,68.6299743652,67.7299499512
2017-09-30 12:00:00,65.5699768066,63.7699890137,62.6899719238,62.3299865723,67.009979248,64.8499450684,65.0299987793,62.6899719238,64.8499450684,63.7699890137,62.6899719238,63.7699890137,64.6700134277,63.2299499512,65.0299987793,66.6499328613,63.5899353027,64.1299743652,66.8299865723,62.6899719238
2017-09-30 18:00:00,64.8499450684,63.2299499512,62.3299865723,61.9700012207,66.2900085449,64.1299743652,65.0299987793,62.509979248,65.2099914551,63.5899963379,62.8700256348,63.2299499512,64.490020752,63.0499572754,64.309967041,66.6499328613,63.0499572754,63.4100036621,66.6499328613,62.3299865723
2017-10-01 00:00:00,74.443939209,75.5060119629,75.4700012207,75.2899475098,76.5499572754,76.009979248,76.1899719238,74.5699768066,74.425994873,75.7579650879,74.2099914551,75.8299865723,74.5339660645,75.2900085449,75.8299865723,74.4979553223,75.0199279785,76.009979248,73.6700134277,75.343963623
2017-10-01 06:00:00,65.4979553223,68.5579528809,67.3159484863,66.5239562988,69.4039611816,67.009979248,68.1799621582,66.7039489746,66.8659362793,67.6399230957,66.0739440918,67.1359558105,66.3979187012,66.4519958496,66.9739685059,67.3879699707,66.3979187012,67.3519592285,67.1719665527,66.8479309082
2017-10-01 12:00:00,61.1239318848,63.7699890137,62.8700256348,61.1600036621,64.741973877,62.3299865723,63.8059997559,62.6899719238,62.8700256348,62.5819396973,61.5739440918,61.3219909668,61.8979187012,60.5299987793,62.6899719238,62.0779724121,61.8079528809,61.7720031738,62.6899719238,61.5919494629
2017-10-01 18:00:00,60.7099914551,63.5899963379,62.509979248,60.8899841309,64.309967041,62.1499328613,63.5899963379,62.3299865723,62.6899719238,62.1499328613,61.2499694824,60.8899841309,61.609954834,60.1700134277,62.3299865723,61.7900085449,61.4299621582,61.4299621582,62.509979248,61.2499694824
2017-10-02 00:00:00,75.6499328613,78.5299987793,77.6479187012,76.3700256348,77.8279724121,78.1700134277,78.5299987793,76.009979248,78.3499450684,76.6399230957,77.0899963379,76.1899108887,77.5220031738,75.109954834,77.990020752,76.5499572754,76.7299499512,76.3699645996,78.1700134277,76.9100036621
2017-10-02 06:00:00,69.1700134277,72.4999694824,70.9699401855,70.609954834,71.1679992676,72.0499572754,72.5899963379,70.2859191895,71.1499328613,70.6819152832,70.4299621582,68.9899597168,72.1219787598,69.6739196777,72.1219787598,70.8799743652,71.3299865723,70.2139587402,71.8700256348,70.4479064941
2017-10-02 12:00:00,68.2699890137,69.5299987793,69.1700134277,67.7299499512,67.3700256348,68.990020752,70.9700012207,67.1899719238,68.990020752,67.1899719238,68.2699890137,67.1539611816,70.8619689941,66.5959777832,69.2059631348,67.9100036621,68.4499816895,66.6499328613,68.809967041,67.5499572754
2017-10-02 18:00:00,68.6299743652,69.3499450684,69.3499450684,67.7299499512,67.009979248,68.809967041,71.1499328613,66.8299865723,68.6299743652,67.009979248,68.0899963379,66.8299865723,70.0699768066,66.4700012207,68.990020752,68.2699890137,68.2699890137,66.4700012207,68.809967041,67.009979248
2017-10-03 00:00:00,76.7299499512,83.2099914551,81.7699890137,80.509979248,81.9499816895,82.309967041,77.990020752,81.2299499512,81.4100036621,81.2299499512,81.5899963379,81.0499572754,80.3299865723,80.2399597168,81.5359191895,78.1700134277,82.1299743652,80.8700256348,81.4100036621,81.5899963379
2017-10-03 06:00:00,71.5459899902,75.8119812012,75.8299865723,74.2099914551,74.2099914551,74.5699768066,70.9700012207,74.5699768066,74.9299621582,74.0299987793,75.4700012207,74.3359680176,75.0199279785,72.5719909668,74.6419372559,75.8299865723,75.6499328613,72.7159729004,74.5699768066,74.3899841309
2017-10-03 12:00:00,69.1879577637,72.0499572754,72.2299499512,70.4299621582,70.2499694824,69.8899841309,58.7299499512,71.1499328613,70.609954834,70.609954834,63.5899963379,69.925994873,72.5899963379,66.6499328613,72.7699890137,71.3299865723,71.8700256348,67.1899719238,69.8899841309,69.8899841309
2017-10-03 18:00:00,70.0699768066,71.509979248,72.4100036621,69.7099914551,69.3499450684,69.5299987793,58.1899719238,70.7900085449,70.4299621582,70.609954834,62.8700256348,69.511932373,72.5899963379,66.2900085449,73.490020752,70.9700012207,71.509979248,67.009979248,69.5299987793,69.7099914551
2017-10-04 00:00:00,77.809967041,82.490020752,81.0499572754,81.5899963379,81.2299499512,82.490020752,69.1700134277,82.309967041,81.4100036621,82.309967041,70.609954834,81.4639587402,74.0299987793,78.7099914551,80.1499328613,76.9100036621,82.6700134277,80.1499328613,82.1299743652,81.0499572754
2017-10-04 06:00:00,69.3499450684,74.3539733887,75.5239562988,74.0299987793,74.0299987793,76.9100036621,61.4299621582,75.6499328613,74.7499694824,73.6700134277,62.8700256348,75.343963623,63.6079406738,70.0159606934,74.1739196777,67.5499572754,75.8299865723,73.3459777832,77.2699890137,72.5899963379
2017-10-04 12:00:00,66.5060119629,70.4299621582,70.4299621582,71.509979248,69.1700134277,71.1499328613,60.1700134277,71.3299865723,72.4100036621,69.5299987793,61.7900085449,72.2659606934,58.2079772949,65.2099914551,70.4299621582,65.0299987793,71.509979248,69.9079284668,72.5899963379,67.5499572754
2017-10-04 18:00:00,66.4700012207,69.8899841309,70.0699768066,71.509979248,68.4499816895,70.609954834,60.5299987793,71.1499328613,72.0499572754,68.990020752,61.9700012207,72.2299499512,58.3879699707,65.2099914551,70.0699768066,64.6700134277,70.9700012207,69.8899841309,72.2299499512,67.009979248
2017-10-05 00:00:00,78.6559753418,81.4100036621,82.1299743652,81.0499572754,80.6899719238,80.1499328613,71.1499328613,81.9499816895,81.2839660645,81.5899963379,81.5899963379,83.8039855957,71.4559631348,79.2499694824,80.3299865723,82.1299743652,82.490020752,80.4739685059,81.9499816895,78.8899841309
2017-10-05 06:00:00,73.975982666,74.5699768066,75.2900085449,76.009979248,71.509979248,73.6700134277,66.109954834,74.9299621582,73.8679504395,74.7499694824,74.9299621582,76.6579284668,64.0579528809,72.175994873,72.0679626465,76.7299499512,75.4700012207,72.7879943848,75.6499328613,71.941986084
2017-10-05 12:00:00,71.6899719238,70.4299621582,69.8539733887,74.9299621582,64.8499450684,70.2499694824,61.609954834,69.5299987793,72.2479553223,69.7099914551,71.6899719238,72.2299499512,60.9079284668,67.3339538574,67.5140075684,73.490020752,69.1700134277,66.9559631348,70.2499694824,66.9559631348
2017-10-05 18:00:00,71.8700256348,70.0699768066,69.3499450684,74.5699768066,63.9499816895,70.0699768066,61.4299621582,68.990020752,72.2299499512,69.3499450684,71.8700256348,72.0499572754,60.8899841309,67.1539611816,66.9739685059,73.490020752,68.6299743652,66.3979187012,69.7099914551,66.6499328613
2017-10-06 00:00:00,82.6159362793,81.2299499512,81.4100036621,83.3899841309,79.0699768066,80.509979248,74.3899841309,80.8700256348,83.1379699707,81.5899963379,80.6899719238,81.7699890137,74.8039855957,80.5819396973,80.059967041,83.2099914551,81.0499572754,78.7819519043,80.8700256348,79.609954834
2017-10-06 06:00:00,76.0459899902,72.9499816895,72.9859313965,76.3700256348,71.6899719238,72.9319152832,68.6299743652,73.5079650879,75.6679992676,72.9499816895,76.027923584,73.1479187012,67.2079772949,72.7699279785,72.3919372559,77.8279724121,73.490020752,71.1679992676,72.2299499512,71.527923584
2017-10-06 12:00:00,72.9139709473,68.2699890137,68.6299743652,71.8700256348,67.1899719238,68.0539855957,65.011932373,68.6299743652,71.3119812012,67.7299499512,74.5519714355,69.8899841309,63.0499572754,68.9179992676,68.6299743652,74.011932373,70.0699768066,67.5319519043,67.7299499512,67.9100036621
2017-10-06 18:00:00,72.5899963379,67.9100036621,68.2699890137,71.509979248,67.1899719238,67.3700256348,64.8499450684,68.0899963379,71.1499328613,67.3700256348,74.9299621582,69.5299987793,62.3299865723,68.4499816895,68.4499816895,73.8499450684,69.8899841309,67.1899719238,67.7299499512,67.7299499512
2017-10-07 00:00:00,83.2999572754,79.9700012207,81.5179748535,82.309967041,79.9700012207,80.1499328613,77.3239440918,80.6899719238,80.6899719238,79.9700012207,81.4100036621,80.509979248,75.6499328613,80.6899719238,81.0499572754,81.5899963379,83.3899841309,80.977935791,80.8700256348,81.4999694824
2017-10-07 06:00:00,76.225982666,71.7079772949,73.3459777832,75.4700012207,72.4100036621,72.643951416,69.3499450684,73.3459777832,75.109954834,70.9699401855,77.0899963379,74.7499694824,68.5039367676,72.4100036621,74.227935791,76.7659606934,74.3899841309,72.6259460449,73.4899597168,74.0659484863
2017-10-07 12:00:00,72.9139709473,67.3700256348,69.3319396973,71.1499328613,68.809967041,69.3499450684,64.4539489746,69.5479431152,71.2939147949,66.6499328613,73.309967041,70.4299621582,65.7499694824,67.9999694824,70.2499694824,72.7879943848,68.2699890137,68.4679870605,70.4299621582,70.0699768066
2017-10-07 18:00:00,72.5899963379,67.009979248,68.6299743652,70.609954834,68.4499816895,69.3499450684,64.093963623,69.1700134277,70.9700012207,66.2900085449,73.1299743652,70.4299621582,65.5699768066,67.3700256348,69.8899841309,72.5899963379,67.7299499512,68.0899963379,70.2499694824,69.7099914551
2017-10-08 00:00:00,82.4179992676,78.7099914551,80.9959411621,81.7699890137,80.1499328613,81.4100036621,76.0639953613,81.7699890137,82.1299743652,80.8700256348,82.490020752,77.809967041,80.1499328613,79.0699768066,81.4100036621,83.2999572754,79.7900085449,79.7359313965,80.6899719238,82.1299743652
2017-10-08 06:00:00,76.5499572754,70.0699768066,72.427947998,74.5699768066,73.8499450684,72.2299499512,67.3879699707,72.9679870605,73.490020752,73.1299743652,76.7299499512,74.191986084,72.6079406738,69.3499450684,73.3279724121,78.1339416504,70.609954834,74.7319641113,73.6699523926,74.6239318848
2017-10-08 12:00:00,72.9139709473,65.3899841309,69.1700134277,70.4299621582,70.609954834,67.5499572754,62.8159484863,68.2699890137,69.7099914551,69.1700134277,73.309967041,72.2299499512,72.2299499512,64.4359436035,68.2699890137,73.1299743652,66.109954834,69.6739196777,68.809967041,69.8899841309
2017-10-08 18:00:00,72.4100036621,65.0299987793,68.809967041,70.0699768066,70.4299621582,67.1899719238,62.275970459,67.9100036621,69.5299987793,68.6299743652,73.1299743652,72.2299499512,72.4100036621,64.1299743652,68.0899963379,72.5899963379,65.7499694824,69.5299987793,68.2699890137,69.7099914551
2017-10-09 00:00:00,82.5799865723,77.6299743652,81.3199768066,81.5899963379,83.0299987793,79.4299621582,72.7879943848,79.9700012207,82.309967041,81.9499816895,79.7900085449,78.1700134277,77.4499816895,76.9100036621,81.5899963379,82.490020752,77.809967041,81.5899963379,80.509979248,81.2299499512
2017-10-09 06:00:00,76.0459899902,69.0079650879,74.227935791,74.9299621582,75.4700012207,70.7900085449,63.0499572754,71.3659362793,76.5679626465,74.3899841309,73.8499450684,74.5699768066,73.8499450684,69.5299987793,74.227935791,74.7679748535,68.6299743652,75.4699401855,72.7879943848,72.4100036621
2017-10-09 12:00:00,72.2299499512,64.8499450684,70.0699768066,71.8700256348,74.5699768066,67.1899719238,59.3059997559,66.8119812012,73.1119689941,70.2499694824,70.4299621582,71.6539611816,70.9700012207,64.8499450684,70.2139587402,69.3499450684,66.4700012207,71.9959411621,69.1700134277,67.5499572754
2017-10-09 18:00:00,71.6899719238,64.8499450684,69.8899841309,73.309967041,74.5699768066,66.6499328613,59.2879943848,66.6499328613,72.7699890137,70.0699768066,70.2499694824,72.4100036621,71.1499328613,64.309967041,69.8899841309,69.1700134277,66.4700012207,71.6899719238,68.6299743652,67.009979248
2017-10-10 00:00:00,80.7799987793,76.7299499512,82.4179992676,78.3499450684,81.0499572754,80.8700256348,75.5779724121,80.3299865723,84.2900085449,82.6700134277,81.0499572754,78.8899841309,77.809967041,78.7099914551,81.7699890137,81.0499572754,79.9700012207,80.509979248,82.490020752,79.609954834
2017-10-10 06:00:00,76.225982666,68.0899353027,75.1819152832,72.9499816895,75.4700012207,74.5699768066,69.2239685059,70.9879455566,77.1079406738,75.109954834,76.2079772949,72.4100036621,75.4700012207,70.4299621582,73.1659240723,75.4700012207,71.8700256348,73.7059631348,74.2099914551,70.9700012207
2017-10-10 12:00:00,73.2739562988,63.4100036621,71.3299865723,63.4100036621,74.227935791,73.1299743652,65.9299621582,65.5519714355,72.5899353027,70.9519958496,73.2739562988,67.2079772949,71.509979248,66.4700012207,68.2699279785,71.6899719238,67.7119445801,71.3299865723,69.8899230957,67.009979248
2017-10-10 18:00:00,73.6700134277,63.2299499512,70.9700012207,62.6899719238,73.8499450684,72.4100036621,65.7499694824,65.2099914551,72.0499572754,70.609954834,72.7699890137,64.309967041,70.9700012207,66.2900085449,67.7299499512,70.9700012207,67.1899719238,68.2699890137,69.8899841309,66.6499328613
2017-10-11 00:00:00,78.7099914551,76.5499572754,81.2299499512,73.1299743652,80.8700256348,81.5899963379,77.0899963379,78.3499450684,82.5799865723,80.6899719238,75.8659362793,66.991973877,78.5299987793,79.9700012207,79.609954834,79.4299621582,78.9979553223,66.4700012207,81.2299499512,79.2499694824
2017-10-11 06:00:00,73.8499450684,69.1699523926,75.1459655762,65.2099914551,74.9299621582,75.109954834,72.0499572754,70.4299621582,74.6059875488,76.7299499512,72.9859313965,62.4020080566,70.6459655762,71.8700256348,70.609954834,76.5499572754,70.8079528809,59.3779602051,60.277923584,71.8700256348
2017-10-11 12:00:00,70.4299621582,64.1299743652,65.1739196777,61.7900085449,72.4100036621,69.5299987793,69.943939209,67.1899719238,69.7099914551,72.7699890137,71.1679992676,59.8819274902,65.425994873,68.0899963379,66.2720031738,70.7899475098,66.109954834,53.2039489746,57.0199279785,69.1700134277
2017-10-11 18:00:00,70.609954834,63.5899963379,61.7900085449,61.0699768066,72.4100036621,68.990020752,69.1700134277,66.8299865723,68.990020752,72.5899963379,70.9700012207,59.4499816895,65.0479431152,67.5499572754,65.5699768066,70.609954834,65.9299621582,52.4299621582,56.5699768066,69.1700134277
2017-10-12 00:00:00,80.4020080566,76.5499572754,70.9339904785,71.3299865723,77.990020752,75.6499328613,76.009979248,79.4299621582,81.0499572754,80.6899719238,62.3299865723,74.3899841309,75.3619689941,79.7900085449,78.7099914551,80.8700256348,77.990020752,61.609954834,67.7299499512,78.1700134277
2017-10-12 06:00:00,73.8679504395,68.3959655762,63.2839660645,59.809967041,72.0499572754,66.109954834,71.5459899902,70.9700012207,73.8499450684,71.1499328613,58.6219787598,69.5299987793,67.927947998,72.2299499512,71.743927002,76.009979248,69.3859558105,55.309967041,63.2479553223,73.7239685059
2017-10-12 12:00:00,70.0339660645,61.8799743652,56.9839782715,56.5699768066,65.3899841309,62.8700256348,69.7640075684,67.5679626465,68.990020752,65.5699768066,57.7219543457,68.6299743652,64.4539489746,67.5499572754,67.9100036621,70.9339904785,64.6879577637,51.8899841309,60.511932373,73.490020752
2017-10-12 18:00:00,69.8899841309,61.2499694824,54.7699890137,56.5699768066,65.0299987793,62.6899719238,69.3499450684,67.1899719238,68.0899963379,64.8499450684,57.4700012207,68.4499816895,63.7339782715,66.8299865723,67.009979248,70.609954834,64.490020752,51.7099914551,59.990020752,73.490020752
2017-10-13 00:00:00,81.1399230957,73.490020752,59.809967041,68.0899963379,75.2900085449,76.5499572754,80.941986084,79.4299621582,79.7900085449,75.8299865723,60.1700134277,77.4499816895,78.2059631348,76.7299499512,79.4299621582,81.4100036621,78.0799865723,64.8499450684,68.0899963379,71.1499328613
2017-10-13 06:00:00,74.0659484863,64.6520080566,52.4659729004,60.5299987793,68.4499816895,68.0899963379,74.227935791,70.9700012207,74.2099914551,69.8899841309,60.7099914551,71.0060119629,72.5719909668,68.4499816895,72.2299499512,73.1299743652,70.0879821777,58.1719665527,62.509979248,70.177947998
